ingredient,occurrence_count
insulin aspart,31
doxycycline hyclate,31
guaiphenesin,31
paracetamol 325mg,31
moxifloxacin hydrochloride,31
oleum lini,30
asparaginase,30
lafutidine,30
meclizine,30
oxytocin,30
gefitinib,30
vitamin a,30
propofol,30
bicalutamide,30
cytarabine,30
irinotecan,29
hepatitis b vaccine,29
mesna,29
zidovudine,29
ticarcillin,29
pegfilgrastim,29
digoxin,29
ropivacaine,29
ascorbic acid,29
terbinafine hydrochloride,29
hydroxypropyl methylcellulose,29
n-acetylcysteine,29
camylofin,28
lovastatin,28
methocarbamol,28
metolazone,28
tenofovir alafenamide,28
palonosetron,28
dexmedetomidine,28
famciclovir,28
natamycin,28
nimodipine,28
amiloride,28
valdecoxib,28
cefprozil,28
hydroxyurea,27
metadoxine,27
oxytetracycline,27
methylphenidate,27
pimozide,27
deferasirox,27
ceftizoxime,27
amantadine,27
bambuterol,27
praziquantel,27
liraglutide,27
ciclopirox olamine,27
mefenamic acid 250mg,27
as pharmaceutical,26
inositol nicotinate,26
jainson biotech,26
iloperidone,26
ulinastatin,26
urokinase,26
haloperidol decanoate,26
penicillin g,26
probenecid,26
etoposide,26
oxiconazole,26
sodium cromoglycate,26
calamine,26
oxybutynin,26
fipronil,26
formoterol fumarate,26
clavulanic acid 125mg,26
fexofenadine hydrochloride,26
collagen peptide,25
remogliflozin etabonate,25
opipramol,25
polmacoxib,25
axitinib,25
charcoal,25
primidone,25
ketamine,25
bleomycin,25
pentoxifylline,25
dothiepin,25
ethinylestradiol,25
flupentixol,25
gleck pharma,24
unifaith biotech,24
ranip drugs,24
sorafenib,24
dacarbazine,24
clobetasone,24
fosaprepitant,24
prilocaine,24
papain,24
ifosfamide,24
milnacipran,24
naltrexone,24
warfarin,24
raloxifene,24
levothyroxine sodium,24
rosuvastatin calcium,24
oseltamivir,24
neomycin sulphate,24
mediz india pharma industries,23
imeglimin,23
filant,23
proanthocyanidin,23
triclofos,23
sirolimus,23
insulin lispro,23
ergotamine,23
lomefloxacin,23
rasagiline,23
xylometazoline hydrochloride,23
betamethasone dipropionate,23
cyclosporine,23
clobetasol propionate 0.05%,23
enclomiphene,22
astaxanthin,22
avtix health,22
dill oil,22
fennel oil,22
diphtheria toxoid,22
eszopiclone,22
ethionamide,22
fulvestrant,22
zopiclone,22
troxerutin,22
gemfibrozil,22
tenoxicam,22
hydroxocobalamin,22
cefixime 200mg,22
vitamin b complex,22
methylsulfonylmethane,22
maksal pharmaceuticals,21
flavoured mentholated base,21
seagull laboratories,21
pharma lifescience,21
human,21
miglitol,21
elagolix,21
lapatinib,21
nilotinib,21
kojic acid,21
aloe vera,21
darifenacin,21
vilanterol,21
lactobacillus rhamnosus,21
ziprasidone,21
fondaparinux,21
zonisamide,21
calcium pantothenate,21
triptorelin,21
ambrisentan,21
spiramycin,21
clofazimine,21
azilsartan,21
prednisolone acetate,21
calcium polystyrene sulphonate,20
amoxapine,20
polyvinyl alcohol,20
degarelix,20
armodafinil,20
magnesium valproate,20
fluphenazine,20
tazarotene,20
cisatracurium,20
neomycin sulfate,20
methylprednisolone acetate,20
amlodipine besylate,20
glyceryl trinitrate,20
atorvastatin calcium,20
pantoprazole 40mg,20
phenyl mercuric nitrate,19
arbutin,19
anidulafungin,19
adalimumab,19
prulifloxacin,19
gamma benzene hexachloride,19
filgrastim,19
ciclesonide,19
benzyl alcohol,19
phytomenadione,19
cefazolin,19
buspirone,19
roflumilast,19
rocuronium,19
exemestane,19
vardenafil,19
perindopril,19
coenzyme q10,19
aceclofenac 100mg,19
drotaverine hydrochloride,19
mulberry extract,18
silver nitrate,18
kiraas pharma,18
pheniramine,18
sulfadiazine,18
eptifibatide,18
risedronate,18
indacaterol,18
cetrorelix,18
bosentan,18
cycloserine,18
desmopressin,18
mitomycin,18
tenecteplase,18
busulfan,18
velpatasvir,18
candesartan cilexetil,18
omega-3 fatty acids,18
bromhexine hydrochloride,18
metformin 500mg,18
clopidogrel bisulfate,18
remedies pharmaceuticals,17
alcohol,17
pertussis toxoid,17
acamprosate,17
hydralazine,17
blonanserin,17
sodium fusidate,17
cinacalcet,17
pidotimod,17
copper,17
tofisopam,17
potassium iodide,17
ephedrine,17
daclatasvir,17
tirofiban,17
oxazepam,17
carbocisteine,17
hesperidin,17
molnupiravir,17
aminophylline,17
nalbuphine,17
dexpanthenol,17
verapamil,17
octreotide,17
cholecalciferol (vitamin d3),17
colistimethate,17
bacillus clausii spores,17
timolol maleate,17
tamsulosin hydrochloride,17
montelukast 10mg,17
levorsulpiride,17
chromium polynicotinate,16
shangrila industries,16
lutein,16
beta carotene,16
choline theophyllinate,16
feracrylum,16
wheat germ oil,16
pamidronate,16
acetic acid,16
bifidobacterium bifidum,16
alginic acid,16
pyridostigmine,16
lecithin,16
calcium gluconate,16
doxazosin,16
naloxone,16
sildenafil citrate,16
multivitamins,16
telmisartan 40mg,16
hegde and hegde pharmaceutica llpclobetasol,15
nectar life sciences ltd,15
terpin hydrate,15
amylmetacresol,15
vitamin b,15
n-acetylcarnosine,15
benzyl nicotinate,15
bifonazole,15
melphalan,15
mephentermine,15
zaleplon,15
cabozantinib,15
zinc acetate,15
choline,15
decitabine,15
atazanavir,15
lercanidipine,15
ticlopidine,15
hydroxyethyl starch,15
dexketoprofen,15
zolmitriptan,15
halometasone,15
megestrol acetate,15
olopatadine hydrochloride,15
docusate sodium,15
vitamin k2-7,15
terbutaline sulphate,15
epoetin alfa,15
quetiapine fumarate,15
l-carnitine,15
clidinium bromide,15
cyproheptadine hydrochloride,15
sulbactam sodium,15
eslicarbazepine,14
zyris derma care,14
sodium feredetate,14
energize pharmaceuticals,14
racemethionine,14
methyldopa,14
somatropin,14
dimethyl fumarate,14
bile constituents,14
tegafur,14
efonidipine,14
valganciclovir,14
lymecycline,14
homatropine,14
hydrogen peroxide,14
piperine,14
agomelatine,14
flutamide,14
dapsone,14
vinorelbine,14
alfacalcidol,14
cimetidine,14
adenosine,14
canagliflozin,14
tolfenamic acid,14
erythropoietin,14
azelastine hydrochloride,14
vitamin b1,14
sertraline hydrochloride,14
sitagliptin phosphate,14
enalapril maleate,14
brimonidine tartrate,14
metformin 1000mg,14
zinc sulphate,14
iguratimod,13
fludarabine,13
roots life sciences,13
limitedglimepiride,13
limiteddomperidone,13
unique life sciences,13
copper sulphate,13
calcium ascorbate,13
beta-cyclodextrin,13
pyridoxamine dihydrochloride,13
stanozolol,13
zinc carnosine,13
dipyridamole,13
balofloxacin,13
benzathine penicillin g,13
ramosetron,13
dolutegravir,13
methimazole,13
milrinone,13
proparacaine,13
calcium acetate,13
ledipasvir,13
entacapone,13
hyaluronidase,13
econazole,13
cefditoren,13
carisoprodol,13
ferrous fumarate,13
captopril,13
ceftibuten,13
magnesium sulfate,13
bifidobacterium,13
alendronate,13
bisoprolol fumarate 2.5mg,13
fexofenadine 120mg,13
potassium magnesium citrate,12
liposomal amphotericin b,12
haemophilus type b conjugate vaccine,12
