Dienogest	dienogest	True	77
Epirubicin	epirubicin	True	77
Simvastatin	simvastatin	True	76
Dabigatran Etexilate		False	76
Carvedilol	carvedilol	True	75
Fosfomycin	fosfomycin	True	75
Allylestrenol		False	75
Dimenhydrinate	dimenhydrinate	True	74
Boron		False	74
Metoclopramide	metoclopramide	True	74
Glycopyrrolate		False	74
Magnesium Trisilicate		False	73
Dextrose		False	73
Potassium Citrate		False	73
Oxymetazoline	oxymetazoline	True	72
Potassium Clavulanate		False	72
Mycophenolate Mofetil	mycophenolate mofetil	True	72
Apixaban	apixaban	True	71
Furazolidone		False	71
Ispaghula		False	70
Trioxasalen		False	70
Ademetionine		False	70
Tetracycline	tetracycline	True	70
Bacillus Clausii		False	70
Oxaliplatin	oxaliplatin	True	70
Methylergometrine	methylergometrine	True	69
Biotin		False	69
Anastrozole	anastrozole	True	69
Venlafaxine	venlafaxine	True	69
Sentosa Geigy		False	68
Naphazoline	naphazoline	True	68
Indomethacin	indomethacin	True	68
Flurbiprofen	flurbiprofen	True	67
Tropicamide	tropicamide	True	67
Ilaprazole		False	67
Azathioprine	azathioprine	True	67
Megestrol		False	66
Nadifloxacin		False	66
Chlorocresol		False	65
Griseofulvin	griseofulvin	True	65
Darbepoetin Alfa	darbepoetin alfa	True	65
Disulfiram	disulfiram	True	64
Lenalidomide	lenalidomide	True	64
Vitamin E	vitamin e	True	64
Eperisone		False	64
Indapamide	indapamide	True	64
Cyanocobalamin	cyanocobalamin	True	63
Clomipramine	clomipramine	True	63
Levonorgestrel	levonorgestrel	True	63
Abiraterone Acetate	abiraterone	True	62
Cefaclor	cefaclor	True	62
Levamisole	levamisole	True	62
Terlipressin		False	62
Thioridazine	thioridazine	True	62
Tenofovir Disoproxil Fumarate		False	62
Calcium Citrate Malate		False	61
Leuprolide	leuprolide	True	61
Palbociclib	palbociclib	True	61
Dexchlorpheniramine		False	60
Phenobarbitone	phenobarbital	True	60
Eplerenone	eplerenone	True	60
Azelaic Acid	azelaic acid	True	60
Oxychloro Complex		False	59
Netilmicin	netilmicin	True	59
Urofollitropin	urofollitropin	True	59
Moxonidine		False	59
Voriconazole	voriconazole	True	58
Dorzolamide	dorzolamide	True	58
Pyrimethamine	pyrimethamine	True	58
Maxx Farmacia		False	58
Mosapride		False	57
Sulfasalazine	sulfasalazine	True	57
Acenocoumarol	acenocoumarol	True	57
Octreotide Acetate	octreotide	True	57
Cefdinir	cefdinir	True	57
Sodium Alginate		False	56
Tiotropium	tiotropium	True	56
S-adenosyl L-methoinine Disulfate Tosylate		False	55
Selenium Dioxide		False	55
Desogestrel	desogestrel	True	55
Prasugrel	prasugrel	True	55
Procyclidine	procyclidine	True	55
Mannitol	mannitol	True	54
Eicosapentaenoic Acid		False	54
Alendronic Acid	alendronic acid	True	54
Tolvaptan	tolvaptan	True	53
Lincomycin	lincomycin	True	53
Inositol		False	53
Albumin		False	53
Doripenem	doripenem	True	53
Recombinant Follicle Stimulating Hormone		False	53
Ginkgo Biloba	ginkgo biloba	True	53
Diloxanide		False	52
Acotiamide		False	52
Diethylcarbamazine		False	52
Coal Tar	coal tar	True	51
Rebanta Health Care		False	51
Urea	urea	True	51
Dasatinib	dasatinib	True	51
Potassium Nitrate		False	50
Sodium Monofluorophosphate		False	50
Healthtree Pharma		False	50
Tolterodine	tolterodine	True	50
Obeticholic Acid	obeticholic acid	True	50
Aprepitant	aprepitant	True	50
Midodrine	midodrine	True	49
Benzydamine		False	49
Lactic Acid	lactic acid	True	49
Drospirenone	drospirenone	True	49
Magnesium Citrate		False	49
Getwell Pharma		False	48
Bisacodyl	bisacodyl	True	48
Desonide	desonide	True	48
Levodropropizine		False	47
Enzalutamide	enzalutamide	True	47
Vortioxetine	vortioxetine	True	47
Dexrabeprazole		False	47
L-carnitine L-tartrate		False	47
Ketoprofen	ketoprofen	True	47
Sunitinib	sunitinib	True	47
Chondroitin		False	46
Danazol	danazol	True	46
Atomoxetine	atomoxetine	True	46
Colistin Sulphate		False	46
Amino Acids		False	46
Sumatriptan	sumatriptan	True	46
Calcium Chloride		False	45
Azelnidipine		False	45
Imatinib Mesylate	imatinib	True	45
Sulphadoxine		False	45
Methoxsalen	methoxsalen	True	45
Cerebroprotein Hydrolysate		False	45
Teriparatide	teriparatide	True	45
Doxepin	doxepin	True	45
Thiamine Mononitrate		False	44
Orphic Pharma		False	44
Vancomycin	vancomycin	True	43
Perindopril Erbumine		False	43
Rosiglitazone	rosiglitazone	True	43
Irbesartan	irbesartan	True	43
Ibandronic Acid		False	43
Hyoscine Butylbromide		False	43
Bifidobacterium Longum		False	43
Everolimus	everolimus	True	42
Pirfenidone	pirfenidone	True	42
Ferrous Bisglycinate		False	42
Citric Acid	citric acid	True	42
Cinitapride		False	41
Meloxicam	meloxicam	True	41
Lenvatinib	lenvatinib	True	41
Cisapride	cisapride	True	41
Sodium Fluoride		False	41
Erlotinib	erlotinib	True	41
Pitavastatin	pitavastatin	True	41
Cilostazol	cilostazol	True	41
Cyproterone		False	41
Boric Acid		False	41
